tx, ty, tz
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
